no,nama_pbphh,kantor,pabrik,no_izin,direktur,skala,wilayah
128,PT PUTRA SENGON JAYA,Dsn Glotan RT 01 RW 04 Ds Tanggung Kec. Campurdarat Kab Tulungagung,Dsn Glotan RT 01 RW 04 Ds Tanggung Kec. Campurdarat Kab Tulungagung,P2T/2/14.02/01/I/2019,Widi Windi Harini,menengah,2
129,CV HAFIDZ BUANA ABADI,Jl. Raya Jatimulyo Ds Mojosari Kec. Kauman Kab. Tulungagung,Jl. Raya Jatimulyo Ds Mojosari Kec. Kauman Kab. Tulungagung,1/14.01.2/02/III/2021,FIDIASTUTI RILANDA,menengah,2
130,UD PENDOWO PUTRO,Dusun Krajan RT 004 RW 004 Ds Talun Kulon Kec. Bandung Kab Tulungagung,Dusun Krajan RT 004 RW 004 Ds Talun Kulon Kec. Bandung Kab Tulungagung,P2T/6/14.03/01/VIII/2019,NURKHAMID,menengah,2
131,UD WARNA JAYA,"Jl. Blumbang RT 04 RW 07, Ds. Campurdarat, Kec. Campurdarat","Jl. Blumbang RT 04 RW 07, Ds. Campurdarat, Kec. Campurdarat",P2T/8/14.03/01/X/2019,H. DODIN WINARNO,menengah,2
132,PT HAFIDZ BUANA SEJAHTERA,"Jl. Raya Ciuri- Karangrejo Mojosari, Kec. Kauman Kab. Tulungagung","Jl. Raya Ciuri- Karangrejo Mojosari, Kec. Kauman Kab. Tulungagung",14.02/5/01/IV/2020,FIDYASTUTY RILANDA ,menengah,2
133,UD ALAM ALASKA,"Jl. Abiyoso No. 7 Ds. Gedangsewu, Kec. Pare","Jl. Abiyoso No. 7 Ds. Gedangsewu, Kec. Pare",188.45/232/418.32/2010,ABDULLAH,kecil,3
134,UD BUDI KARYA PUTRA,"JL. Raya No.79 Ds. Gedangsewu, Kec. Pare","JL. Raya No.79 Ds. Gedangsewu, Kec. Pare",188.45/241/418.32/2010,SUSELO,kecil,3
135,UD DJOKO PRIYONO,Jl.Opak RT05/RW02 Ds.Kerkep Kec.Gurah,"Ds.Sukorejo, Kec.Gurah",188.45/233/418.32/2010,DJOKO PRIYONO,kecil,3
136,UD DUTA RIMBA,"Ds.Gadungan, Kec.Puncu","Ds.Gadungan, Kec.Puncu",522.21/21/418.12/2008,BUDI PRASETYA,kecil,3
137,UD PRIMA ALBASIA SEJAHTERA,"Jl. Mangir Dsn. Sawahan RT02/RW01 Ds. Watugede, Kec. Puncu","Jl. Mangir Dsn. Sawahan RT02/RW01 Ds. Watugede, Kec. Puncu",188.45/261/418.32/2010,JOSEPH SOLAPUNG,kecil,3
138,UD PUSPA KUMALA,0,0,522.21/20/418.12/2008,0,kecil,3
139,UD RIMBA JATI,Dsn.Sawahan RT02 RW01 Ds.Watugede Kec.Puncu,Dsn.Sawahan RT02 RW01 Ds.Watugede Kec.Puncu,188.45/243/418.32/2010,YOLLY ACHYA AL GHOZALI,kecil,3
140,UD TRIMULYA SEJAHTERA ABADI (Eks. UD RODA NIAGA)," Jln. Dieng Ds. Sumberbendo, Kec. Pare"," Jln. Dieng Ds. Sumberbendo, Kec. Pare",522.21/25/418.12/2008,HENDRA PRAKOSO ADI DARSONO,kecil,3
141,UD SARI REJEKI ,"Ds. Gayam, Kec. Gurah","Ds. Gayam, Kec. Gurah",188.45/220/418.32/2010,Hj. AMINAH,kecil,3
142,UD SUMBER REJEKI,"Ds. Gayam, Kec. Gurah","Ds. Gayam, Kec. Gurah",510/139/116.05/2006,H. RUSLAN,kecil,3
143,UD WONGSOREJO,"Jl. Bengawan Solo 65 RT02/RW05 Ds. Pelem, Kec. Pare","Ds. Sambirejo, Kec. Pare",188.45/235/418.32/2010,MOCHAMAD ARDIYANTO,kecil,3
144,UD PUTRA UTAMA,Jl Abiyoso RT 005 RW 004 Ds Gedangsewu Kec. Pare Kab. Kediri,Jl. Natuna Gedangsewu Kec. Pare Kab. Kediri,40/14.07/01/IiI/2022,M. FATHAR ROSYIDI,kecil,3
145,UD TRI KARYA ALBASIA,Jl. Veteran Desa Singopuran Kec. Kartosuro Kab Sukoharjo Jateng,Jl. Garuda RT 002 RW 003 Kec. Kendat Kab Kediri ,43/14.07/01/IiI/2022,BUDI YULIANTO,kecil,3
146,UD SUMBER REJEKI PUTRA,Dusun Tawangsari Ds Gempolan Kec. Gurah Kab Kediri,Dusun Tawangsari Ds Gempolan Kec. Gurah Kab Kediri,33/14.07/01/IV/2022,TAUFIK RACHMAN,kecil,3
147, RONALD AGUSTINO,Jl. Gatot Kaca  No. 42 Desa Gedangsewu Kec. Pare Kab. Kediri,Jl. Gatot Kaca  No. 42 Desa Gedangsewu Kec. Pare Kab. Kediri,75/14.07/01/V/2022,RONALD AGUSTINO,kecil,3
148,UD DUA KARYA BERSAMA,Dusun Kapas RT 05 RW 02 Desa Kapas Kec. Kunjang Kab. Kediri,Dusun Kapas RT 05 RW 02 Desa Kapas Kec. Kunjang Kab. Kediri,76/14.07/01/V/2022,DWI KARYANTO,kecil,3
